Tingkatkan,1
baik,1
harap di tingkatkan,1
aman,1
Bagus,1
syudah bagus,1
cukup bagus,1
Semoga pihak layanan pusat bahasa dapat mempertahankan kinerjanya yang bernilai positif dan meningkatkan kinerjanya di masa depan. Terima kasih.,1
baik,1
sudah cukup bagus,1
pusat bahasa baik,1
Sudah baik,1
untuk layanan pusat bahasa sudah sangat memuaskan  dan hanya perlu di pertahankan,1
lebih di tingkatkan lagi untuk mengenalkan tentang pusat bahasa.,1
sudah baik,1
"Pelayannan Pusat Bahasa sudah sangat baik, pembelajarannya pun terlihat menyenangkan",1
Tingkatkan,1
bagus kedepan smg lebih bagus,1
Tingkatkan,1
sudah baik,1
Sudah cukup baik,1
sangat mencerminkan budaya bahasa yang daramatis,1
sudah cukup,1
sudah bagus dalam bidang layanan pusat bahasa,1
lebih di tingkatkan lagi,1
cukup baik,1
sudah cukup baik,1
lanjutkan,1
saya sudah merasa nyaman dengan pengimplementasia layanan yang di berikan pusat bahasa terhadap saya,1
sudah baik,1
lebih ditingkatkan lagi fasilitas untuk menunjang,1
baik,1
tingkatkan,1
cukup memuaskan,1
menurut saya sudah cukup baik,1
Sudah cukup jelas dan baik,1
Baik,1
Tingkat kan lagi,1
sudah cukup baik,1
cukupbaik,1
baik,1
bagus,1
sudah baik,1
tingkatkan lagi,1
Baik,1
ditingkatkan lagi,1
Sudah cukup bagus,1
Maju terus!!!,1
cukup baik,1
layanan di bidang pusaht bahasa cukup baik,1
canggih,1
semoga lebih bisa diperbaiki lagi yang masih kurang,0
lebih diperbaiki lagi,0
lebih di perbaiki,0
pas esap kayak ngantri sembako,0
jadilah lebih baik,0
-,0
"sudah baik, alangkah baiknya lebih di informasikan lagi tentang fungsi apa saja yg dapat kita gunakan di layanan pusat bahasa itu",0
"untuk yang ESAP, kemahalan, ngapain harus jadi member setaun kalo cuma bisa daftar sekali doang, orang matkul nya aja cuma satu kali per semester. klo yang setaun ada b.inggris 2x enak g usah bayar lagi, ini kalo semester 1 ada semester 2 ga ada semestr 3 ada kan jadi harus daftar member lagi..",0
lbh baik lg kedepan,0
kurang tahu karena belum kesana,0
Semoga biaya di pusat bahasa lebih terjangkau,0
Lebih update lagi dalam pemberitaan,0
be better,0
akan lebih baik lagi apabila informasi mengenai layanan pusat bahasa lebih mudah didapatkan,0
Sebaiknya biaya kursus bahasa asing lebih ringan agar peminatnya dapat meningkat.,0
lebih baik lagi,0
wqw bohong semua,0
fasilitasnya mohon lebih diperhatikan lg,0
"ditingkatkan lagi, ruang pendaftaran masih kurang memadai",0
Diharuskan mengambil kursus Bahasa Inggris untuk mendapatkan point tanpa memandang kecerdasan sesungguhnya ? sebaiknya jangan,0
-,0
"sangat nyaman tempatnya, mungkin tahun depan dapat menambahkan ruang discussion room agar tidak antri atau menunggu giliran terlalu lama",0
tingkatkan lagi agar menjadi lebih baik,0
-,0
karetnya,0
semoga kedepannya bisa lebih baik lagi,0
Sebaiknya admin  seperti teller bank yang ramah meski sedang banyak orang,0
sudah lumayan bagus lah,0
tekankan harga LaC Membership dan paket LaC.,0
kurang puas karena dari berbagai fakultas dipusatkan di satu tempat sehingga terjadi pengantrian,0
Diusahakan dalam pembelajaran intensif untuk perbaikan EPRT & ECCT ditingkatkan lagi. Karnea sistemnya terkadang kurang membangun,0
-,0
sudah bagus tapi tingkatkan lagi mutu pelayanannya,0
"semoga lebih baik lagi ,dan menjadi yang terbaik dari universitas lainnya",0
Lebih disosialisasikan kembali kegiatan ESSAP dll,0
-,0
Kurang profesionalisme dan kurang fasilitas yang memadahi serta mentor mentor yang memadahi juga,0
suka tidak nyaman jika di admin esp suka antri dalam melakukan suatu transaksi.,0
sudah cukup baik,0
"dalam kemudahan mengakses informasi sangat perlu ditingkatkan, karna banyak mahasiswa yang minim informasi tentang layanan dan agar layanan bisa diakses dimanapun dan kapanpun",0
-,0
-,0
Untuk layanan pusat bahasa perbaikan fasilitas Lab. bahasa,0
sudah baik,0
Tolong lebih dipermudah dan terbuka,0
perbaiki lagi layanannya,0
"saran, jika ada jadwal tes mohon mahasiswa di SMS juga agar tidak ada mahasiswa yang ketinggalan informasi",0
-,0
pada layanan pusat bahasa beberapa orang ada yang tidak baik dalam melayani kami,0
diperbaharui alat alat pembanyu nya,0
